app1,1,1,20,15
app1,2,2,10,05
app1,1,3,10,20
app1,1,4,05,05
app1,1,5,20,15
app1,1,6,15,15
app1,1,7,10,05
app1,1,8,05,25
app1,1,9,10,10
app1,1,10,15,30
app2,3,1,15,15
app2,2,2,05,15
app2,5,3,15,10
app2,4,4,10,20
app2,6,5,15,15
app2,8,6,20,30
app2,0,7,15,25
app2,9,8,10,15
app2,2,9,25,30
app2,1,10,15,10
app3,1,1,10,10
app3,2,2,15,30
app3,3,3,25,10
app3,4,4,15,15
app3,5,5,10,10
app3,6,6,25,25
app3,7,7,15,15
app3,8,8,25,10
app3,9,9,30,10
app3,0,10,15,40
app4,3,1,15,15
app4,2,2,30,30
app4,1,3,15,05
app4,0,4,10,10
app4,4,5,15,15
app4,5,6,20,20
app4,6,7,30,30
app4,7,8,40,40
app4,8,9,05,05
app4,9,10,20,20
app5,3,1,15,15
app5,1,2,45,15
app5,2,3,05,25
app5,0,4,15,10
app5,6,5,10,20
app5,5,6,30,10
app5,7,7,10,05
app5,4,8,25,10
app5,9,9,10,10
app5,8,10,15,25
