app1,1,1,20,15
app1,2,2,10,05
app1,3,3,10,20
app1,4,4,05,05
app1,0,5,20,15
app2,2,1,15,15
app2,4,2,05,15
app2,3,3,15,10
app2,6,4,10,20
app2,5,5,15,15
app2,0,6,20,30
app2,2,7,15,25
app3,1,1,10,10
app3,3,2,15,30
app3,5,3,25,10
app3,2,4,15,15
app3,0,5,10,10
app3,4,6,25,25
app4,1,1,15,15
app4,2,2,30,30
app4,3,3,15,05
app4,4,4,10,10
app4,5,5,15,15
app4,6,6,20,20
app4,7,7,30,30
app4,8,8,40,40
app4,6,9,05,05
app4,2,10,20,20
app5,6,1,15,15
app5,3,2,45,15
app5,2,3,05,25
app5,4,4,15,10
app5,5,5,10,20
app5,0,6,30,10
app5,1,7,10,05
